,salaryMin,minSalaryExpect,Salary_matching_score
327,24000.0,3500.0,-2.05
328,40000.0,65000.0,-2.5
329,,65000.0,
330,8320.0,8700.0,-0.038
331,,,
332,8320.0,0.0,-0.832
333,24000.0,19000.0,-0.5
334,24000.0,,
335,,,
336,24000.0,,
337,24000.0,,
338,8320.0,20000.0,-1.168
339,45000.0,0.0,-4.5
340,8320.0,,
341,35000.0,,
342,24000.0,,
343,8320.0,7.0,-0.8313
344,60000.0,60000.0,-0.0
345,,50000.0,
346,75000.0,80000.0,-0.5
347,8320.0,12000.0,-0.368
348,24000.0,24000.0,-0.0
349,40000.0,60000.0,-2.0
350,8320.0,7000.0,-0.132
351,24000.0,,
352,60000.0,50000.0,-1.0
353,8320.0,,
354,45000.0,,
355,8320.0,,
356,60000.0,90000.0,-3.0
357,,32000.0,
358,24000.0,,
359,8320.0,4500.0,-0.382
360,45000.0,48000.0,-0.3
361,8320.0,,
362,24000.0,23000.0,-0.1
363,8320.0,,
364,,,
365,,,
366,8320.0,,
367,75000.0,80000.0,-0.5
368,75000.0,85000.0,-1.0
369,45000.0,40000.0,-0.5
370,24000.0,3500.0,-2.05
371,65000.0,65000.0,-0.0
372,8320.0,,
373,48000.0,120000.0,-7.2
374,8320.0,8000.0,-0.032
375,65000.0,120000.0,-5.5
376,24000.0,,
377,35000.0,37.0,-3.4963
378,65000.0,,
379,75000.0,75000.0,-0.0
380,24000.0,,
381,,32000.0,
382,70000.0,50000.0,-2.0
383,8320.0,,
384,24000.0,,
385,40000.0,70000.0,-3.0
386,,35000.0,
387,,61000.0,
388,24000.0,24000.0,-0.0
389,8320.0,,
390,8320.0,,
391,8320.0,8500.0,-0.018
392,60000.0,50000.0,-1.0
393,,450.0,
394,,,
395,24000.0,,
396,37000.0,42000.0,-0.5
397,65000.0,65000.0,-0.0
398,45000.0,45000.0,-0.0
399,,,
400,8320.0,,
401,8320.0,12500.0,-0.418
402,36000.0,42000.0,-0.6
403,8320.0,,
404,,45000.0,
405,75000.0,,
406,43000.0,54000.0,-1.1
407,8320.0,4500.0,-0.382
408,8320.0,7000.0,-0.132
409,60000.0,36000.0,-2.4
410,48000.0,40000.0,-0.8
411,35000.0,40000.0,-0.5
412,24000.0,,
413,65000.0,65000.0,-0.0
414,8320.0,,
415,,65000.0,
416,24000.0,24000.0,-0.0
417,36000.0,45000.0,-0.9
418,8320.0,10000.0,-0.168
419,55000.0,40000.0,-1.5
420,40000.0,60000.0,-2.0
421,8320.0,,
422,40000.0,30000.0,-1.0
423,,50000.0,
424,60000.0,65.0,-5.9935
425,60000.0,60.0,-5.994
426,8320.0,,
427,45000.0,40000.0,-0.5
428,40000.0,60000.0,-2.0
429,65000.0,120000.0,-5.5
430,,,
431,30000.0,30000.0,-0.0
432,,65000.0,
433,60000.0,160000.0,-10.0
434,8320.0,,
435,,,
436,,45000.0,
437,,40000.0,
438,65000.0,90.0,-6.491
439,,55000.0,
440,8320.0,3998.0,-0.4322
441,8320.0,4000.0,-0.432
442,24000.0,,
443,,55000.0,
444,75000.0,75000.0,-0.0
445,,110000.0,
446,60000.0,60000.0,-0.0
447,60000.0,60000.0,-0.0
448,65000.0,160000.0,-9.5
449,55000.0,40000.0,-1.5
450,8320.0,8700.0,-0.038
451,30000.0,35000.0,-0.5
452,65000.0,1600.0,-6.34
453,,55000.0,
454,43000.0,43000.0,-0.0
455,24000.0,,
456,,32000.0,
457,,65000.0,
458,,,
459,35000.0,28000.0,-0.7
460,85000.0,70000.0,-1.5
461,8320.0,1500000.0,-149.168
462,60000.0,,
463,8320.0,10000.0,-0.168
464,40000.0,70000.0,-3.0
465,8320.0,,
466,45000.0,40000.0,-0.5
467,8320.0,5997.0,-0.2323
468,8320.0,,
469,8320.0,,
470,55000.0,,
471,60000.0,,
472,45000.0,,
473,65000.0,3000.0,-6.2
474,45000.0,52000.0,-0.7
475,37000.0,45000.0,-0.8
476,30000.0,,
477,,,
478,8320.0,,
479,,62000.0,
480,45000.0,35000.0,-1.0
481,24000.0,20000.0,-0.4
482,75000.0,1000.0,-7.4
483,36000.0,43000.0,-0.7
484,24000.0,,
485,,45000.0,
486,45000.0,43000.0,-0.2
487,,,
488,8320.0,,
489,40000.0,75000.0,-3.5
490,45000.0,37000.0,-0.8
491,60000.0,,
492,,55000.0,
